EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,extraversion,neuroticism,agreeableness,conscientiousness,openness,name
3.0,-3.0,2.0,-3.0,3.0,-2.0,4.0,-3.0,3.0,-5.0,-4.0,3.0,-4.0,1.0,-2.0,-3.0,-5.0,-4.0,-4.0,-5.0,-2.0,5.0,-3.0,4.0,-2.0,3.0,-1.0,3.0,4.0,2.0,1.0,-5.0,5.0,-5.0,1.0,-5.0,3.0,-1.0,1.0,5.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,5.0,5.0,19.0,11.0,27.0,14.0,40.0,C_10
3.0,-1.0,5.0,-3.0,5.0,-1.0,5.0,-5.0,5.0,-3.0,-5.0,1.0,-3.0,1.0,-5.0,-5.0,-5.0,-5.0,-5.0,-3.0,-2.0,5.0,-5.0,3.0,-3.0,5.0,-3.0,5.0,5.0,5.0,5.0,-5.0,5.0,-3.0,5.0,-5.0,5.0,-3.0,3.0,5.0,4.0,-1.0,5.0,-1.0,5.0,-3.0,1.0,5.0,5.0,5.0,30.0,4.0,29.0,26.0,33.0,C_11
4.0,-1.0,5.0,-4.0,5.0,-1.0,4.0,-1.0,5.0,-2.0,-1.0,5.0,-1.0,2.0,-1.0,-1.0,-5.0,-4.0,-1.0,-5.0,-1.0,5.0,-2.0,5.0,-1.0,4.0,-1.0,5.0,5.0,5.0,2.0,-4.0,5.0,-4.0,2.0,-3.0,1.0,-4.0,1.0,2.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,5.0,5.0,5.0,34.0,26.0,38.0,12.0,39.0,C_12
1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,-5.0,1.0,-5.0,1.0,-4.0,-5.0,-3.0,-3.0,-4.0,-5.0,-2.0,2.0,-2.0,3.0,-3.0,3.0,-3.0,0.0,3.0,1.0,3.0,-2.0,5.0,-3.0,4.0,-1.0,5.0,-3.0,4.0,3.0,5.0,-1.0,4.0,-1.0,2.0,-2.0,4.0,5.0,5.0,3.0,0.0,6.0,16.0,29.0,32.0,C_13
1.0,-5.0,2.0,-5.0,1.0,-4.0,1.0,-2.0,2.0,-5.0,-4.0,3.0,-5.0,1.0,-4.0,-4.0,-4.0,-2.0,-4.0,-5.0,-2.0,5.0,-4.0,5.0,-1.0,5.0,-2.0,4.0,5.0,5.0,4.0,-4.0,2.0,-4.0,2.0,-3.0,4.0,-1.0,4.0,5.0,5.0,-4.0,5.0,-5.0,4.0,-1.0,4.0,4.0,5.0,5.0,6.0,10.0,34.0,23.0,30.0,C_14
2.0,-1.0,3.0,-4.0,4.0,-3.0,5.0,-3.0,3.0,-5.0,-4.0,2.0,-3.0,3.0,-3.0,-4.0,-3.0,-3.0,-5.0,-5.0,-5.0,5.0,-5.0,5.0,-2.0,3.0,-3.0,3.0,4.0,5.0,3.0,-3.0,4.0,-4.0,4.0,-2.0,3.0,-3.0,4.0,5.0,5.0,-2.0,5.0,-3.0,4.0,-1.0,3.0,3.0,5.0,5.0,21.0,13.0,24.0,25.0,32.0,C_15
1.0,-4.0,2.0,-4.0,2.0,-3.0,2.0,-4.0,2.0,-4.0,-4.0,3.0,-4.0,2.0,-4.0,-4.0,-3.0,-3.0,-4.0,-4.0,-2.0,3.0,-3.0,3.0,-3.0,4.0,-3.0,4.0,4.0,3.0,2.0,-2.0,3.0,-3.0,2.0,-4.0,3.0,-2.0,2.0,3.0,4.0,-2.0,4.0,-3.0,4.0,-2.0,4.0,3.0,4.0,4.0,10.0,13.0,24.0,18.0,28.0,C_16
4.0,-1.0,5.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,-2.0,-1.0,4.0,-3.0,5.0,-3.0,-2.0,-3.0,-2.0,-2.0,-1.0,-4.0,5.0,-1.0,5.0,-2.0,4.0,-2.0,4.0,4.0,4.0,3.0,-3.0,4.0,-4.0,2.0,-3.0,4.0,-3.0,2.0,3.0,3.0,-3.0,4.0,-3.0,3.0,-4.0,3.0,2.0,2.0,3.0,31.0,30.0,31.0,19.0,18.0,C_17
4.0,-2.0,5.0,-3.0,4.0,-4.0,5.0,-2.0,5.0,-2.0,-2.0,5.0,-4.0,4.0,-3.0,-4.0,-2.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,4.0,0.0,-3.0,5.0,-3.0,1.0,-5.0,3.0,-2.0,1.0,2.0,4.0,-1.0,5.0,-1.0,3.0,-5.0,4.0,2.0,5.0,3.0,30.0,29.0,39.0,13.0,27.0,C_18
5.0,-1.0,5.0,-2.0,5.0,-1.0,5.0,-3.0,5.0,-4.0,-4.0,1.0,-4.0,2.0,-4.0,-4.0,-4.0,-4.0,-5.0,-4.0,-3.0,3.0,-4.0,3.0,-2.0,5.0,-1.0,4.0,4.0,4.0,4.0,-1.0,5.0,-1.0,5.0,-5.0,5.0,-1.0,5.0,5.0,4.0,-5.0,3.0,-5.0,4.0,-3.0,5.0,4.0,2.0,3.0,34.0,8.0,27.0,35.0,20.0,C_19
3.0,-3.0,2.0,-3.0,4.0,-3.0,1.0,-5.0,1.0,-2.0,-5.0,1.0,-5.0,1.0,-3.0,-3.0,-4.0,-3.0,-5.0,-4.0,-2.0,4.0,-4.0,4.0,-2.0,4.0,-3.0,3.0,4.0,3.0,4.0,-3.0,4.0,-2.0,3.0,-2.0,4.0,-2.0,3.0,4.0,3.0,-2.0,4.0,-3.0,3.0,-2.0,3.0,3.0,4.0,3.0,15.0,8.0,25.0,27.0,24.0,C_20
3.0,-2.0,2.0,-4.0,4.0,-4.0,5.0,-3.0,1.0,-3.0,-3.0,3.0,-4.0,4.0,-3.0,-3.0,-5.0,-4.0,-3.0,-4.0,-1.0,5.0,-1.0,4.0,-5.0,3.0,-2.0,3.0,4.0,2.0,3.0,-3.0,2.0,-2.0,2.0,-2.0,4.0,-3.0,2.0,2.0,3.0,-4.0,3.0,-2.0,2.0,-5.0,3.0,2.0,1.0,2.0,19.0,16.0,26.0,19.0,13.0,C_21
1.0,-4.0,3.0,-4.0,2.0,-3.0,2.0,-5.0,2.0,-5.0,-3.0,4.0,-4.0,3.0,-2.0,-3.0,-2.0,-2.0,-2.0,-1.0,-1.0,4.0,-1.0,5.0,-2.0,4.0,-2.0,5.0,4.0,3.0,4.0,-1.0,4.0,-1.0,2.0,-2.0,4.0,-2.0,3.0,3.0,2.0,-2.0,3.0,-2.0,3.0,-3.0,3.0,1.0,5.0,3.0,9.0,26.0,33.0,28.0,21.0,C_22
3.0,-4.0,4.0,-3.0,3.0,-4.0,2.0,-2.0,0.0,-5.0,-5.0,4.0,-5.0,1.0,-4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,-1.0,4.0,4.0,4.0,1.0,-4.0,5.0,-1.0,5.0,-5.0,5.0,-3.0,3.0,5.0,5.0,-4.0,5.0,-4.0,5.0,-1.0,5.0,4.0,5.0,4.0,14.0,24.0,36.0,25.0,32.0,C_23
1.0,-5.0,1.0,-4.0,1.0,-5.0,1.0,-5.0,1.0,-5.0,-5.0,1.0,-5.0,1.0,-4.0,-5.0,-3.0,-2.0,-5.0,-5.0,-1.0,3.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,5.0,2.0,4.0,-2.0,5.0,-4.0,2.0,-2.0,3.0,-2.0,2.0,3.0,4.0,-2.0,4.0,-3.0,2.0,-3.0,5.0,4.0,5.0,2.0,1.0,6.0,28.0,23.0,26.0,C_24
2.0,-2.0,3.0,-5.0,5.0,-3.0,5.0,-5.0,4.0,-5.0,-4.0,4.0,-5.0,2.0,-2.0,-4.0,-5.0,-3.0,-3.0,-4.0,-2.0,5.0,-5.0,5.0,-2.0,5.0,-1.0,5.0,5.0,4.0,2.0,-4.0,3.0,-4.0,1.0,-3.0,3.0,-4.0,5.0,2.0,3.0,-5.0,4.0,-4.0,3.0,-3.0,5.0,2.0,5.0,3.0,19.0,14.0,33.0,15.0,21.0,C_25
4.0,-1.0,5.0,-3.0,5.0,-1.0,5.0,-5.0,5.0,-1.0,-5.0,2.0,-3.0,2.0,-3.0,-1.0,-3.0,-1.0,-4.0,-2.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,5.0,3.0,-1.0,4.0,-1.0,2.0,-1.0,3.0,-1.0,5.0,5.0,4.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,1.0,5.0,4.0,33.0,20.0,40.0,32.0,32.0,C_26
1.0,-3.0,1.0,-5.0,1.0,-4.0,1.0,-5.0,1.0,-5.0,-3.0,2.0,-4.0,5.0,-3.0,-2.0,-1.0,-1.0,-3.0,-1.0,-5.0,4.0,-3.0,3.0,-4.0,3.0,-2.0,1.0,2.0,2.0,4.0,-4.0,3.0,-2.0,3.0,-4.0,3.0,-2.0,2.0,3.0,4.0,-3.0,5.0,-3.0,4.0,-1.0,4.0,4.0,4.0,5.0,3.0,27.0,15.0,20.0,31.0,C_27
2.0,-2.0,3.0,-5.0,3.0,-3.0,1.0,-4.0,1.0,-3.0,-5.0,3.0,-5.0,1.0,-1.0,-5.0,-3.0,-3.0,-5.0,-4.0,-2.0,4.0,-2.0,4.0,-2.0,4.0,-1.0,5.0,3.0,3.0,3.0,-5.0,3.0,-4.0,1.0,-4.0,4.0,-3.0,4.0,3.0,3.0,-4.0,4.0,-3.0,3.0,-1.0,3.0,3.0,4.0,3.0,13.0,11.0,30.0,16.0,23.0,C_28
2.0,-4.0,4.0,-2.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,-5.0,3.0,-5.0,2.0,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-1.0,4.0,-1.0,5.0,-2.0,5.0,-1.0,3.0,4.0,3.0,4.0,-1.0,3.0,-2.0,5.0,-1.0,5.0,-2.0,4.0,3.0,5.0,-2.0,5.0,-2.0,4.0,-1.0,3.0,4.0,5.0,3.0,20.0,7.0,33.0,32.0,32.0,C_29
2.0,-4.0,5.0,-4.0,4.0,-1.0,5.0,-4.0,4.0,-3.0,-3.0,4.0,-5.0,5.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-5.0,5.0,-1.0,5.0,-2.0,4.0,-1.0,5.0,5.0,4.0,4.0,-1.0,4.0,-1.0,5.0,-1.0,5.0,-3.0,1.0,5.0,5.0,-3.0,3.0,-3.0,3.0,-4.0,4.0,4.0,5.0,5.0,24.0,30.0,33.0,32.0,27.0,C_30
2.0,-4.0,2.0,-4.0,3.0,-4.0,2.0,-5.0,2.0,-4.0,-5.0,3.0,-5.0,2.0,-4.0,-4.0,-4.0,-2.0,-4.0,-4.0,-1.0,4.0,-1.0,5.0,-2.0,4.0,-2.0,4.0,4.0,3.0,4.0,-2.0,4.0,-2.0,5.0,-1.0,5.0,-2.0,5.0,4.0,4.0,-2.0,5.0,-3.0,3.0,-2.0,3.0,2.0,4.0,3.0,10.0,11.0,32.0,34.0,25.0,C_31
3.0,-2.0,4.0,-2.0,2.0,-3.0,3.0,-2.0,4.0,-4.0,-1.0,5.0,-1.0,5.0,-3.0,-1.0,-2.0,-1.0,-3.0,-1.0,-2.0,4.0,-1.0,4.0,-2.0,4.0,-2.0,4.0,4.0,4.0,4.0,-5.0,3.0,-1.0,1.0,-4.0,1.0,-1.0,1.0,3.0,4.0,-2.0,4.0,-2.0,5.0,-1.0,4.0,1.0,4.0,5.0,23.0,35.0,31.0,16.0,30.0,C_32
3.0,-4.0,3.0,-2.0,5.0,-4.0,2.0,-4.0,4.0,-4.0,-5.0,2.0,-4.0,2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-2.0,4.0,-3.0,3.0,-3.0,4.0,-2.0,3.0,4.0,3.0,2.0,-2.0,5.0,-3.0,1.0,-4.0,4.0,-5.0,1.0,2.0,2.0,-2.0,4.0,-2.0,4.0,-2.0,5.0,3.0,4.0,4.0,19.0,4.0,25.0,15.0,28.0,C_33
2.0,-2.0,0.0,-2.0,5.0,-1.0,2.0,-3.0,3.0,-4.0,-4.0,3.0,-4.0,3.0,-2.0,-4.0,-4.0,-5.0,-5.0,-5.0,-1.0,5.0,-1.0,5.0,-1.0,2.0,-5.0,1.0,2.0,2.0,2.0,-5.0,2.0,-3.0,2.0,-4.0,4.0,-4.0,4.0,3.0,5.0,-4.0,5.0,-1.0,4.0,-4.0,2.0,2.0,1.0,2.0,20.0,11.0,23.0,15.0,20.0,C_34
1.0,-4.0,4.0,-5.0,4.0,-3.0,3.0,-5.0,1.0,-3.0,-5.0,3.0,-5.0,2.0,-2.0,-5.0,-4.0,-4.0,-4.0,-5.0,-1.0,5.0,-1.0,5.0,-4.0,5.0,-1.0,4.0,5.0,4.0,4.0,-1.0,5.0,-3.0,5.0,-1.0,5.0,-3.0,5.0,4.0,5.0,-3.0,5.0,-3.0,2.0,-1.0,4.0,5.0,5.0,3.0,13.0,9.0,35.0,34.0,30.0,C_35
5.0,-1.0,4.0,-1.0,5.0,-2.0,5.0,-2.0,5.0,-3.0,-4.0,2.0,-5.0,3.0,-4.0,-2.0,-4.0,-4.0,-4.0,-2.0,-2.0,4.0,-2.0,5.0,-1.0,4.0,-1.0,3.0,5.0,3.0,3.0,-5.0,2.0,-4.0,4.0,-5.0,3.0,-3.0,2.0,4.0,2.0,-2.0,4.0,-2.0,3.0,-2.0,4.0,2.0,5.0,4.0,35.0,14.0,32.0,15.0,26.0,C_36
3.0,-2.0,3.0,-4.0,2.0,-2.0,3.0,-4.0,3.0,-4.0,-3.0,4.0,-3.0,5.0,-4.0,-2.0,-3.0,-1.0,-3.0,-1.0,-3.0,3.0,-1.0,3.0,-4.0,4.0,-4.0,2.0,2.0,4.0,2.0,-4.0,2.0,-2.0,2.0,-2.0,2.0,-3.0,2.0,2.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,4.0,5.0,18.0,27.0,20.0,15.0,39.0,C_37
2.0,-3.0,3.0,-4.0,2.0,-4.0,1.0,-3.0,3.0,-4.0,-4.0,5.0,-3.0,3.0,-3.0,-3.0,-1.0,-1.0,-2.0,-3.0,-2.0,2.0,-1.0,3.0,-3.0,3.0,-3.0,3.0,3.0,4.0,4.0,-5.0,4.0,-2.0,2.0,-3.0,2.0,-2.0,2.0,3.0,4.0,-1.0,3.0,-1.0,3.0,-2.0,4.0,3.0,4.0,3.0,13.0,26.0,23.0,19.0,28.0,C_38
5.0,-1.0,5.0,-2.0,5.0,-1.0,5.0,-2.0,4.0,-2.0,-2.0,4.0,-3.0,3.0,-4.0,-2.0,-2.0,-2.0,-2.0,-3.0,-1.0,5.0,-3.0,5.0,-1.0,5.0,-1.0,5.0,4.0,5.0,2.0,-5.0,3.0,-2.0,1.0,-4.0,1.0,-1.0,2.0,5.0,5.0,-1.0,4.0,-1.0,4.0,-1.0,5.0,4.0,4.0,4.0,36.0,25.0,37.0,16.0,35.0,C_39
2.0,-3.0,3.0,-4.0,3.0,-3.0,1.0,-4.0,2.0,-3.0,-5.0,2.0,-5.0,3.0,-4.0,-3.0,-5.0,-4.0,-3.0,-3.0,-2.0,4.0,-2.0,4.0,-3.0,4.0,-3.0,4.0,3.0,3.0,4.0,-4.0,4.0,-3.0,1.0,-2.0,4.0,-3.0,3.0,3.0,3.0,-3.0,4.0,-4.0,3.0,-3.0,2.0,2.0,4.0,3.0,14.0,11.0,26.0,21.0,19.0,C_40
3.0,-4.0,3.0,-4.0,4.0,-2.0,2.0,-2.0,4.0,-4.0,-1.0,2.0,-4.0,2.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-1.0,4.0,-2.0,4.0,-2.0,5.0,-2.0,4.0,4.0,4.0,4.0,-2.0,2.0,-2.0,4.0,-2.0,4.0,-2.0,4.0,4.0,5.0,-2.0,4.0,-2.0,4.0,-2.0,5.0,4.0,4.0,3.0,20.0,15.0,32.0,28.0,31.0,C_41
3.0,-3.0,5.0,-2.0,5.0,-1.0,4.0,-2.0,5.0,-1.0,-2.0,5.0,-2.0,5.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,5.0,5.0,4.0,-4.0,2.0,-1.0,4.0,-2.0,4.0,-1.0,1.0,2.0,5.0,-2.0,4.0,-1.0,4.0,-1.0,4.0,3.0,5.0,4.0,33.0,35.0,39.0,23.0,33.0,C_42
2.0,-1.0,4.0,-1.0,5.0,-2.0,2.0,-5.0,1.0,-3.0,-4.0,0.0,-5.0,2.0,-4.0,-4.0,-1.0,-1.0,-2.0,-4.0,-5.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,5.0,2.0,-2.0,2.0,-3.0,1.0,-3.0,1.0,-1.0,4.0,3.0,2.0,-1.0,2.0,-1.0,2.0,-3.0,4.0,1.0,4.0,3.0,22.0,15.0,36.0,18.0,21.0,C_43
2.0,-4.0,5.0,-3.0,5.0,-1.0,3.0,-5.0,5.0,-5.0,-1.0,4.0,-5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,5.0,-1.0,3.0,-1.0,5.0,5.0,5.0,4.0,-3.0,5.0,-1.0,5.0,-1.0,5.0,-1.0,5.0,5.0,4.0,-2.0,4.0,-2.0,5.0,-1.0,5.0,1.0,5.0,5.0,22.0,35.0,38.0,37.0,32.0,C_44
3.0,-1.0,4.0,-3.0,4.0,-2.0,3.0,-2.0,4.0,-5.0,-4.0,3.0,-4.0,4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-4.0,-3.0,4.0,-1.0,5.0,-3.0,4.0,-2.0,4.0,5.0,5.0,2.0,-3.0,3.0,-4.0,4.0,-4.0,2.0,-2.0,3.0,4.0,2.0,-4.0,5.0,-3.0,3.0,-1.0,5.0,2.0,5.0,3.0,25.0,11.0,32.0,19.0,25.0,C_45
4.0,-2.0,4.0,-2.0,3.0,-0.0,2.0,-2.0,4.0,-3.0,-4.0,2.0,-4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,3.0,-2.0,3.0,-3.0,3.0,-2.0,3.0,4.0,3.0,2.0,-5.0,3.0,-4.0,2.0,-4.0,2.0,-5.0,3.0,2.0,4.0,-3.0,5.0,-3.0,5.0,-1.0,4.0,4.0,2.0,5.0,28.0,13.0,23.0,10.0,30.0,C_46
3.0,-3.0,4.0,-3.0,4.0,-0.0,4.0,-3.0,2.0,-3.0,-2.0,4.0,-4.0,2.0,-3.0,-3.0,-4.0,-4.0,-2.0,-4.0,-1.0,5.0,-2.0,5.0,-1.0,5.0,-1.0,4.0,5.0,5.0,2.0,-5.0,4.0,-2.0,1.0,-4.0,2.0,-3.0,1.0,2.0,4.0,-4.0,4.0,-1.0,3.0,-2.0,5.0,3.0,4.0,3.0,25.0,18.0,38.0,12.0,27.0,C_47
2.0,-4.0,4.0,-2.0,3.0,-2.0,2.0,-4.0,1.0,-5.0,-2.0,4.0,-4.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,4.0,-1.0,4.0,-2.0,3.0,-2.0,5.0,4.0,4.0,3.0,-2.0,5.0,-1.0,3.0,-2.0,4.0,-2.0,3.0,4.0,4.0,-1.0,3.0,-1.0,4.0,-2.0,4.0,3.0,5.0,4.0,15.0,26.0,32.0,29.0,31.0,C_48
3.0,-5.0,4.0,-3.0,3.0,-4.0,2.0,-2.0,2.0,-4.0,-1.0,2.0,-3.0,2.0,-2.0,-2.0,-3.0,-2.0,-2.0,-4.0,-3.0,4.0,-3.0,2.0,-1.0,4.0,-2.0,3.0,3.0,4.0,5.0,-4.0,4.0,-2.0,4.0,-2.0,2.0,-2.0,5.0,5.0,3.0,-2.0,4.0,-2.0,2.0,-2.0,4.0,2.0,4.0,5.0,16.0,23.0,25.0,29.0,26.0,C_49
4.0,-1.0,5.0,-1.0,5.0,-2.0,5.0,-1.0,5.0,-1.0,-3.0,3.0,-4.0,3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,5.0,-3.0,2.0,-3.0,2.0,-1.0,5.0,3.0,5.0,3.0,-5.0,4.0,-4.0,2.0,-4.0,2.0,-3.0,2.0,4.0,4.0,-1.0,4.0,-1.0,4.0,-2.0,5.0,3.0,5.0,4.0,38.0,14.0,26.0,15.0,33.0,C_50
1.0,-2.0,3.0,-4.0,3.0,-3.0,2.0,-5.0,1.0,-5.0,-3.0,2.0,-4.0,1.0,-2.0,-3.0,-3.0,-3.0,-4.0,-3.0,-3.0,3.0,-4.0,3.0,-4.0,5.0,-3.0,3.0,3.0,2.0,3.0,-3.0,4.0,-2.0,3.0,-1.0,4.0,-1.0,1.0,3.0,4.0,-4.0,5.0,-2.0,3.0,-1.0,3.0,4.0,4.0,4.0,11.0,16.0,19.0,25.0,28.0,C_51
1.0,-4.0,1.0,-3.0,2.0,-3.0,2.0,-3.0,4.0,-4.0,-5.0,2.0,-5.0,2.0,-3.0,-3.0,-0.0,-4.0,-5.0,-4.0,-3.0,4.0,-4.0,4.0,-3.0,4.0,-2.0,2.0,3.0,1.0,4.0,-2.0,5.0,-4.0,1.0,-3.0,4.0,-4.0,2.0,3.0,5.0,-2.0,5.0,-2.0,4.0,-2.0,4.0,4.0,5.0,4.0,13.0,13.0,20.0,20.0,33.0,C_52
1.0,-4.0,5.0,-4.0,4.0,-1.0,2.0,-1.0,1.0,-2.0,-2.0,3.0,-4.0,2.0,-2.0,-2.0,-4.0,-4.0,-2.0,-3.0,-1.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,5.0,5.0,3.0,-4.0,4.0,-1.0,2.0,-4.0,4.0,-1.0,3.0,5.0,5.0,-1.0,5.0,-1.0,4.0,-1.0,5.0,5.0,5.0,4.0,21.0,20.0,39.0,25.0,38.0,C_53
