country,text,table,text_empty,description_text
Slovakia,"```Here is a statistical description of the societal values of Slovakia. According to the WVS, Slovakia was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Slovakia was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Slovakia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Slovakia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Slovakia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Slovakia was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Slovakia.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.263 |  |
| Survival vs Self-expression Values | 0.443 |  |
| Neutrality | 0.619 |  |
| Fairness | -0.746 |  |
| Skepticism | 0.590 |  |
| Societal Tranquility | 0.809 |  |```",```Here is a statistical description of the societal values of Slovakia.```,"```Here is a statistical description of the societal values of Slovakia. According to the WVS, Slovakia was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Slovakia was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Slovakia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Slovakia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Slovakia was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Slovakia was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.263 |  |
| Survival vs Self-expression Values | 0.443 |  |
| Neutrality | 0.619 |  |
| Fairness | -0.746 |  |
| Skepticism | 0.590 |  |
| Societal Tranquility | 0.809 |  |```"
Thailand,"```Here is a statistical description of the societal values of Thailand. According to the WVS, Thailand was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Thailand was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Thailand was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a self-help or mutual aid group?', on average participants indicated that they 'don't belong' .  According to the WVS, Thailand was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Thailand was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Thailand was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Thailand.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.722 |  |
| Survival vs Self-expression Values | 0.066 |  |
| Neutrality | -1.838 | Question: 'Are you a member of a self-help or mutual aid group?' Average answer:indicated that they 'don't belong' . |
| Fairness | 0.235 |  |
| Skepticism | -0.809 |  |
| Societal Tranquility | 0.972 |  |```",```Here is a statistical description of the societal values of Thailand.```,"```Here is a statistical description of the societal values of Thailand. According to the WVS, Thailand was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Thailand was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Thailand was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a self-help or mutual aid group?', on average participants indicated that they 'don't belong' .  According to the WVS, Thailand was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Thailand was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Thailand was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.722 |  |
| Survival vs Self-expression Values | 0.066 |  |
| Neutrality | -1.838 | Question: 'Are you a member of a self-help or mutual aid group?' Average answer:indicated that they 'don't belong' . |
| Fairness | 0.235 |  |
| Skepticism | -0.809 |  |
| Societal Tranquility | 0.972 |  |```"
Tajikistan,"```Here is a statistical description of the societal values of Tajikistan. According to the WVS, Tajikistan was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Tajikistan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Tajikistan was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Tajikistan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Tajikistan was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Tajikistan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Tajikistan.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.784 |  |
| Survival vs Self-expression Values | -0.336 |  |
| Neutrality | -0.625 |  |
| Fairness | -0.547 |  |
| Skepticism | -2.122 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.749 |  |```",```Here is a statistical description of the societal values of Tajikistan.```,"```Here is a statistical description of the societal values of Tajikistan. According to the WVS, Tajikistan was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Tajikistan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Tajikistan was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Tajikistan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Tajikistan was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Tajikistan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.784 |  |
| Survival vs Self-expression Values | -0.336 |  |
| Neutrality | -0.625 |  |
| Fairness | -0.547 |  |
| Skepticism | -2.122 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | 0.749 |  |```"
Tunisia,"```Here is a statistical description of the societal values of Tunisia. According to the WVS, Tunisia was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Tunisia was found to have below average Survival vs Self-expression Values score (i.e. value survival more compared to the average) compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Homosexuality', on average participants indicated that it is 'never justifiable' .  According to the WVS, Tunisia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Tunisia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Tunisia was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Tunisia was found to be below averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A war involving my country', on average participants indicated that they worry 'very much' . ```","```Here is a statistical description of the societal values of Tunisia.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.350 |  |
| Survival vs Self-expression Values | -1.217 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Homosexuality' Average answer: indicated that it is 'never justifiable' . |
| Neutrality | 0.978 |  |
| Fairness | 0.457 |  |
| Skepticism | 1.181 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | -1.232 | Question: 'To what degree are you worried about the following situations? A war involving my country' Average answer: indicated that they worry 'very much' . |```",```Here is a statistical description of the societal values of Tunisia.```,"```Here is a statistical description of the societal values of Tunisia. According to the WVS, Tunisia was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Tunisia was found to have below average Survival vs Self-expression Values score (i.e. value survival more compared to the average) compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Homosexuality', on average participants indicated that it is 'never justifiable' .  According to the WVS, Tunisia was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Tunisia was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Tunisia was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Tunisia was found to be below averagely tranquil compared to other countries in the same wave. In response to the question 'To what degree are you worried about the following situations? A war involving my country', on average participants indicated that they worry 'very much' . 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.350 |  |
| Survival vs Self-expression Values | -1.217 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Homosexuality' Average answer: indicated that it is 'never justifiable' . |
| Neutrality | 0.978 |  |
| Fairness | 0.457 |  |
| Skepticism | 1.181 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | -1.232 | Question: 'To what degree are you worried about the following situations? A war involving my country' Average answer: indicated that they worry 'very much' . |```"
Turkey,"```Here is a statistical description of the societal values of Turkey. According to the WVS, Turkey was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Turkey was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Turkey was found to be above averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a self-help or mutual aid group?', on average participants indicated that they 'are an inactive member' .  According to the WVS, Turkey was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Turkey was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'quite a lot' .  According to the WVS, Turkey was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Turkey.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.212 |  |
| Survival vs Self-expression Values | -0.522 |  |
| Neutrality | 1.175 | Question: 'Are you a member of a self-help or mutual aid group?' Average answer:indicated that they 'are an inactive member' . |
| Fairness | 0.430 |  |
| Skepticism | -1.032 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'quite a lot' . |
| Societal Tranquility | -0.585 |  |```",```Here is a statistical description of the societal values of Turkey.```,"```Here is a statistical description of the societal values of Turkey. According to the WVS, Turkey was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Turkey was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Turkey was found to be above averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a self-help or mutual aid group?', on average participants indicated that they 'are an inactive member' .  According to the WVS, Turkey was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Turkey was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'quite a lot' .  According to the WVS, Turkey was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.212 |  |
| Survival vs Self-expression Values | -0.522 |  |
| Neutrality | 1.175 | Question: 'Are you a member of a self-help or mutual aid group?' Average answer:indicated that they 'are an inactive member' . |
| Fairness | 0.430 |  |
| Skepticism | -1.032 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'quite a lot' . |
| Societal Tranquility | -0.585 |  |```"
Taiwan,"```Here is a statistical description of the societal values of Taiwan. According to the WVS, Taiwan was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Taiwan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Taiwan was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Taiwan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Taiwan was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Taiwan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Taiwan.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.210 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 0.404 |  |
| Neutrality | -0.111 |  |
| Fairness | 0.684 |  |
| Skepticism | -0.167 |  |
| Societal Tranquility | -0.140 |  |```",```Here is a statistical description of the societal values of Taiwan.```,"```Here is a statistical description of the societal values of Taiwan. According to the WVS, Taiwan was found to have above average Traditional vs Secular Values score (i.e. more secular compared to the average) compared to other countries in the same wave. In response to the question 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?', on average participants  'did not mention' children's religious faith as especially important.  According to the WVS, Taiwan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Taiwan was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Taiwan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Taiwan was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Taiwan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 1.210 | Question: 'Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?' Average answer:  'did not mention' children's religious faith as especially important. |
| Survival vs Self-expression Values | 0.404 |  |
| Neutrality | -0.111 |  |
| Fairness | 0.684 |  |
| Skepticism | -0.167 |  |
| Societal Tranquility | -0.140 |  |```"
Ukraine,"```Here is a statistical description of the societal values of Ukraine. According to the WVS, Ukraine was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Ukraine was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Ukraine was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Ukraine was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Ukraine was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Ukraine was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Ukraine.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.733 |  |
| Survival vs Self-expression Values | 0.016 |  |
| Neutrality | 0.810 |  |
| Fairness | -0.634 |  |
| Skepticism | 0.927 |  |
| Societal Tranquility | -0.909 |  |```",```Here is a statistical description of the societal values of Ukraine.```,"```Here is a statistical description of the societal values of Ukraine. According to the WVS, Ukraine was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Ukraine was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Ukraine was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Ukraine was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Ukraine was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Ukraine was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.733 |  |
| Survival vs Self-expression Values | 0.016 |  |
| Neutrality | 0.810 |  |
| Fairness | -0.634 |  |
| Skepticism | 0.927 |  |
| Societal Tranquility | -0.909 |  |```"
Uruguay,"```Here is a statistical description of the societal values of Uruguay. According to the WVS, Uruguay was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Uruguay was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Uruguay was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Uruguay was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Uruguay was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Uruguay was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Uruguay.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.438 |  |
| Survival vs Self-expression Values | 0.844 |  |
| Neutrality | -0.530 |  |
| Fairness | 0.440 |  |
| Skepticism | -0.318 |  |
| Societal Tranquility | -0.637 |  |```",```Here is a statistical description of the societal values of Uruguay.```,"```Here is a statistical description of the societal values of Uruguay. According to the WVS, Uruguay was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Uruguay was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Uruguay was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Uruguay was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Uruguay was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, Uruguay was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.438 |  |
| Survival vs Self-expression Values | 0.844 |  |
| Neutrality | -0.530 |  |
| Fairness | 0.440 |  |
| Skepticism | -0.318 |  |
| Societal Tranquility | -0.637 |  |```"
United States of America,"```Here is a statistical description of the societal values of United states of america. According to the WVS, United states of america was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, United states of america was found to have above average Survival vs Self-expression Values score (i.e. value self-expression more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, United states of america was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a professional organization?', on average participants indicated that they 'don't belong' .  According to the WVS, United states of america was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, United states of america was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, United states of america was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of United states of america.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.632 |  |
| Survival vs Self-expression Values | 1.730 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -1.023 | Question: 'Are you a member of a professional organization?' Average answer:indicated that they 'don't belong' . |
| Fairness | 0.087 |  |
| Skepticism | 0.294 |  |
| Societal Tranquility | 0.535 |  |```",```Here is a statistical description of the societal values of United states of america.```,"```Here is a statistical description of the societal values of United states of america. According to the WVS, United states of america was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, United states of america was found to have above average Survival vs Self-expression Values score (i.e. value self-expression more compared to the average) compared to other countries in the same wave. In response to the question 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?', on average participants  'did not mention' homosexuals as neighbors they would not like to have.  According to the WVS, United states of america was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a professional organization?', on average participants indicated that they 'don't belong' .  According to the WVS, United states of america was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, United states of america was found to be neither above nor below averagely skeptical compared to other countries in the same wave.  According to the WVS, United states of america was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.632 |  |
| Survival vs Self-expression Values | 1.730 | Question: 'On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?' Average answer:  'did not mention' homosexuals as neighbors they would not like to have. |
| Neutrality | -1.023 | Question: 'Are you a member of a professional organization?' Average answer:indicated that they 'don't belong' . |
| Fairness | 0.087 |  |
| Skepticism | 0.294 |  |
| Societal Tranquility | 0.535 |  |```"
Uzbekistan,"```Here is a statistical description of the societal values of Uzbekistan. According to the WVS, Uzbekistan was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a charitable or humanitarian organization?', on average participants indicated that they 'don't belong' .  According to the WVS, Uzbekistan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Uzbekistan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Uzbekistan.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.534 |  |
| Survival vs Self-expression Values | 0.023 |  |
| Neutrality | -1.453 | Question: 'Are you a member of a charitable or humanitarian organization?' Average answer:indicated that they 'don't belong' . |
| Fairness | -0.682 |  |
| Skepticism | -1.896 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | -0.601 |  |```",```Here is a statistical description of the societal values of Uzbekistan.```,"```Here is a statistical description of the societal values of Uzbekistan. According to the WVS, Uzbekistan was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to be below averagely neutral compared to other countries in the same wave. In response to the question 'Are you a member of a charitable or humanitarian organization?', on average participants indicated that they 'don't belong' .  According to the WVS, Uzbekistan was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Uzbekistan was found to be below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the government?', on average participants indicated that they have 'a great deal' .  According to the WVS, Uzbekistan was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.534 |  |
| Survival vs Self-expression Values | 0.023 |  |
| Neutrality | -1.453 | Question: 'Are you a member of a charitable or humanitarian organization?' Average answer:indicated that they 'don't belong' . |
| Fairness | -0.682 |  |
| Skepticism | -1.896 | Question: 'How much confidence do you have in the government?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | -0.601 |  |```"
Venezuela (Bolivarian Republic of),"```Here is a statistical description of the societal values of Venezuela (bolivarian republic of). According to the WVS, Venezuela (bolivarian republic of) was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Venezuela (bolivarian republic of) was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Venezuela (bolivarian republic of).
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.270 |  |
| Survival vs Self-expression Values | -0.178 |  |
| Neutrality | 0.917 |  |
| Fairness | -0.281 |  |
| Skepticism | 1.340 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | 0.013 |  |```",```Here is a statistical description of the societal values of Venezuela (bolivarian republic of).```,"```Here is a statistical description of the societal values of Venezuela (bolivarian republic of). According to the WVS, Venezuela (bolivarian republic of) was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to have an average value of fairness compared to other countries in the same wave.  According to the WVS, Venezuela (bolivarian republic of) was found to be above averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'none at all' .  According to the WVS, Venezuela (bolivarian republic of) was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | -0.270 |  |
| Survival vs Self-expression Values | -0.178 |  |
| Neutrality | 0.917 |  |
| Fairness | -0.281 |  |
| Skepticism | 1.340 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'none at all' . |
| Societal Tranquility | 0.013 |  |```"
Vietnam,"```Here is a statistical description of the societal values of Vietnam. According to the WVS, Vietnam was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Vietnam was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Vietnam was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Vietnam was found to have a below average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Violence against other people', on average participants indicated that it is 'unjustifiable' .  According to the WVS, Vietnam was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'a great deal' .  According to the WVS, Vietnam was found to be neither above nor below averagely tranquil compared to other countries in the same wave. ```","```Here is a statistical description of the societal values of Vietnam.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.893 |  |
| Survival vs Self-expression Values | -0.497 |  |
| Neutrality | 0.855 |  |
| Fairness | -1.478 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Violence against other people' Average answer:indicated that it is 'unjustifiable' . |
| Skepticism | -2.135 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | -0.878 |  |```",```Here is a statistical description of the societal values of Vietnam.```,"```Here is a statistical description of the societal values of Vietnam. According to the WVS, Vietnam was found to have neither an above nor a below average Traditional vs Secular Values score compared to other countries in the same wave.  According to the WVS, Vietnam was found to have neither an above nor a below average Survival vs Self-expression Values score compared to other countries in the same wave.  According to the WVS, Vietnam was found to be averagely neutral compared to other countries in the same wave.  According to the WVS, Vietnam was found to have a below average value of fairness compared to other countries in the same wave. In response to the question 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Violence against other people', on average participants indicated that it is 'unjustifiable' .  According to the WVS, Vietnam was found to be far below averagely skeptical compared to other countries in the same wave. In response to the question 'How much confidence do you have in the parliament?', on average participants indicated that they have 'a great deal' .  According to the WVS, Vietnam was found to be neither above nor below averagely tranquil compared to other countries in the same wave. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| Traditional vs Secular Values | 0.893 |  |
| Survival vs Self-expression Values | -0.497 |  |
| Neutrality | 0.855 |  |
| Fairness | -1.478 | Question: 'Please tell me for each of the following actions whether you think it can always be justified, never be justified, or something in between: Violence against other people' Average answer:indicated that it is 'unjustifiable' . |
| Skepticism | -2.135 | Question: 'How much confidence do you have in the parliament?' Average answer: indicated that they have 'a great deal' . |
| Societal Tranquility | -0.878 |  |```"
