person,text,text_empty,table,description_text
C_10,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | -0.555 |   |
| agreeableness | 0.268 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | -0.924 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite resilient and confident. The candidate tends to feel less negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | -0.555 |   |
| agreeableness | 0.268 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | -0.924 |   |```"
C_11,```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they worry about things. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they feel comfortable around people. |
| neuroticism | -1.093 | In particular they said that they worry about things. |
| agreeableness | 1.070 | In particular they said that they interested in people. |
| conscientiousness | 1.906 | In particular they said that they are always prepared. |
| openness | 0.914 |   |```","```The candidate is very outgoing and energetic. The candidate tends to be more social. In particular they said that they feel comfortable around people. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they worry about things. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is quite inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 1.131 | In particular they said that they feel comfortable around people. |
| neuroticism | -1.093 | In particular they said that they worry about things. |
| agreeableness | 1.070 | In particular they said that they interested in people. |
| conscientiousness | 1.906 | In particular they said that they are always prepared. |
| openness | 0.914 |   |```"
C_12,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | 1.194 | In particular they said that they are relaxed most of the time.  |
| agreeableness | 0.001 |   |
| conscientiousness | 0.398 |   |
| openness | -0.590 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is quite consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.649 |   |
| neuroticism | 1.194 | In particular they said that they are relaxed most of the time.  |
| agreeableness | 0.001 |   |
| conscientiousness | 0.398 |   |
| openness | -0.590 |   |```"
C_13,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they sympathize with others feelings. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.544 |   |
| neuroticism | 0.790 |   |
| agreeableness | 1.070 | In particular they said that they sympathize with others feelings. |
| conscientiousness | 0.850 |   |
| openness | 1.583 | In particular they said that they have a rich vocabulary. |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is quite sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they sympathize with others feelings. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is very inventive and curious. The candidate tends to be more open to new ideas and experiences. In particular they said that they have a rich vocabulary. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.544 |   |
| neuroticism | 0.790 |   |
| agreeableness | 1.070 | In particular they said that they sympathize with others feelings. |
| conscientiousness | 0.850 |   |
| openness | 1.583 | In particular they said that they have a rich vocabulary. |```"
C_14,```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.922 |   |
| neuroticism | 0.386 |   |
| agreeableness | -0.933 |   |
| conscientiousness | -0.658 |   |
| openness | -0.256 |   |```","```The candidate is quite outgoing and energetic. The candidate tends to be more social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is quite critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.922 |   |
| neuroticism | 0.386 |   |
| agreeableness | -0.933 |   |
| conscientiousness | -0.658 |   |
| openness | -0.256 |   |```"
C_15,```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.068 | In particular they said that they dont talk a lot. |
| neuroticism | 0.252 |   |
| agreeableness | -0.266 |   |
| conscientiousness | -0.658 |   |
| openness | -0.088 |   |```","```The candidate is very solitary and reserved. The candidate tends to be less social. In particular they said that they dont talk a lot. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is quite extravagant and careless. The candidate tends to be less careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -1.068 | In particular they said that they dont talk a lot. |
| neuroticism | 0.252 |   |
| agreeableness | -0.266 |   |
| conscientiousness | -0.658 |   |
| openness | -0.088 |   |```"
C_16,```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they often forget to put things back in their proper place. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.125 |   |
| neuroticism | 0.117 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -1.412 | In particular they said that they often forget to put things back in their proper place. |
| openness | 0.079 |   |```","```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is relatively friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. The candidate is very extravagant and careless. The candidate tends to be less careful or diligent. In particular they said that they often forget to put things back in their proper place. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.125 |   |
| neuroticism | 0.117 |   |
| agreeableness | 0.001 |   |
| conscientiousness | -1.412 | In particular they said that they often forget to put things back in their proper place. |
| openness | 0.079 |   |```"
C_17,```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.021 |   |
| neuroticism | 1.732 | In particular they said that they are relaxed most of the time.  |
| agreeableness | 1.337 | In particular they said that they interested in people. |
| conscientiousness | 0.699 |   |
| openness | -0.088 |   |```","```The candidate is relatively solitary and reserved. The candidate tends to be less social. The candidate is very sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. In particular they said that they are relaxed most of the time. The candidate is very friendly and compassionate. The candidate tends to be more cooperative polite kind and friendly. In particular they said that they interested in people. The candidate is quite efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively consistent and cautious. The candidate tends to be less open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.021 |   |
| neuroticism | 1.732 | In particular they said that they are relaxed most of the time.  |
| agreeableness | 1.337 | In particular they said that they interested in people. |
| conscientiousness | 0.699 |   |
| openness | -0.088 |   |```"
C_18,```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | -1.766 | In particular they said that they get stressed out easily. |
| agreeableness | -0.266 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | 0.079 |   |```","```The candidate is relatively outgoing and energetic. The candidate tends to be more social. The candidate is very resilient and confident. The candidate tends to feel less negative emotions and anxiety. In particular they said that they get stressed out easily. The candidate is relatively critical and rational. The candidate tends to be less cooperative polite kind and friendly. The candidate is very efficient and organized. The candidate tends to be more careful or diligent. In particular they said that they are always prepared. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | 0.294 |   |
| neuroticism | -1.766 | In particular they said that they get stressed out easily. |
| agreeableness | -0.266 |   |
| conscientiousness | 1.001 | In particular they said that they are always prepared. |
| openness | 0.079 |   |```"
C_19,```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they insult people. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. ```,```The candidate is...```,"```Here is a statistical description of the candidate.
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | 0.117 |   |
| agreeableness | -1.601 | In particular they said that they insult people. |
| conscientiousness | 0.398 |   |
| openness | 0.079 |   |```","```The candidate is quite solitary and reserved. The candidate tends to be less social. The candidate is relatively sensitive and nervous. The candidate tends to feel more negative emotions and anxiety. The candidate is very critical and rational. The candidate tends to be less cooperative polite kind and friendly. In particular they said that they insult people. The candidate is relatively efficient and organized. The candidate tends to be more careful or diligent. The candidate is relatively inventive and curious. The candidate tends to be more open to new ideas and experiences. 
| Factor | Z-score | Relevant question |
|:------|------:|:--------------------|
| extraversion | -0.753 |   |
| neuroticism | 0.117 |   |
| agreeableness | -1.601 | In particular they said that they insult people. |
| conscientiousness | 0.398 |   |
| openness | 0.079 |   |```"
