assistant,Level,category,user,References,Link
1.1.1.2.2.1.1.1.1.1.,9,Con,"                  The brain may be all the body needs to process physical stimuli; however, the soul is not claimed to conduct these functions for a person but to rather process non-physical stimuli.
",,
1.1.1.2.2.1.1.1.2.,8,Pro,"                Transceivers only send and receive signals. Something must exist to interpret and execute those signals. Even simple RC cars [3] use complex circuit boards to execute a received command.
",3,
1.1.1.2.2.1.1.1.3.,8,Pro,"                A signal can be sent to a device. That device can even receive that signal. But without something else to turn that signal into action (e.g. a processor), nothing would happen.
",,
1.1.1.2.2.1.1.2.,7,Con,"              Souls existing in their own right does not impede brains from existing. Existence is not perfectly efficient.
",,
1.1.1.2.2.1.1.2.1.,8,Con,"                In the abstract, existence is not efficient, but in living creatures, evolution is a relentless seeker of efficiency. If the soul makes parts of the brain redundant, then those parts of the brain should have been sanded off by natural selection eons ago.
",,
1.1.1.2.2.1.1.3.,7,Pro,"              On supernaturalism, minds could exist in their own right as an immaterial (or substance-dual) soul. If souls could fulfill the brain's function, we would have no need of brains that take 1/5th of the body's energy. A simple transceiver would suffice.
",,
1.1.1.2.2.1.1.3.1.,8,Con,"                -> See 1.1.1.2.2.1.1.1.2.
",,
1.1.1.2.2.1.1.3.2.,8,Con,"                Strawman: It is not claimed that a soul can fulfill the brain's functions. The claim is that the soul needs to animate a physical body to interact with the physical world.
",,
1.1.1.2.2.1.2.,6,Pro,"            Billions of people across time and physical locations have claimed to have an experience involving the spiritual world. This, at bare minimum, makes it possible that immaterial entities exist.
",,
1.1.1.2.2.1.2.1.,7,Con,"              The experience does not vindicate or support the explanation the person assumes.
",,
1.1.1.2.2.1.2.1.1.,8,Con,"                The experience could be an incorrigible truth [4] that can't be expressed to others in terms they can understand until they experience it for themselves.
",4,
1.1.1.2.2.1.2.1.1.1.,9,Con,"                  Without doubting the truth of the experience, one can still discard the explanation.
",,
1.1.1.2.2.1.2.1.1.1.1.,10,Con,"                    If the set of spiritual experiences was small, then it would be more warranted to believe that these spritual experiences weren’t possible. However, we have billions of people testifying to these experiences. Such a large set drastically increases the probability that there can be authentic expreiences with a spiritual world. Thus, it is possible (if not probable) that the spiritual world exists.
",,
1.1.1.2.2.1.2.2.,7,Con,"              Culturally specific explanations assigned to these experiences suggests the explanations are not verified by the experience.
",,
1.1.1.2.2.1.2.2.1.,8,Con,"                It is likely that cultural explanations do explain some or even many of these religious experiences. However, to assume this was necessarily true for all would be an unwarranted assumption.
",,
1.1.1.2.2.1.2.3.,7,Con,"              Non religious people have similar experiences without a God based explanation.
",,
1.1.1.2.2.1.2.3.1.,8,Con,"                This assumes the experiences of non-religious people are similar to those who believe in the spiritual based on experience. This is an unwarranted assumption.
",,
1.1.1.2.2.1.2.3.1.1.,9,Con,"                  No true Scotsman fallacy/special pleading. The descriptions are so similar that there is no reason to think they are different. All the ancient religions have spiritual experiences, as do most modern cults. The only difference is cultural interpretation.
",,
1.1.1.2.2.1.2.3.1.1.1.,10,Con,"                    **Non-Christian religious experience isn’t simply spurious. It may well be the case that adherents of other religions do enjoy a veridical experience of God as the Ground of Being on whom we creatures are dependent or as the Moral Absolute from whom values derive or even as the loving Father of mankind.
",,
1.1.1.2.2.1.2.3.1.1.1.1.,11,Con,"                      Without a definitive and objective way to distinguish between a spurious claim and a genuine godly experience the grandparent claim of using the no true Scotsman fallacy holds. The parent claim still suggests that some supposed godly experiences are real and others are false without presenting an objective way to distinguish them.
",,
1.1.1.2.2.1.2.3.1.1.1.1.1.,12,Con,"                        This whole chain is about establishing personal warrant for believing in God. Therefore, the parent fails to distinguish between epistemological and metaphysical claims. There is a difference between knowing something to be true and showing something to be true. The primary purpose of these claims is to demonstrate that belief in God is rational and there is no epistemological objection to that can dismiss it.
",,
1.1.1.2.2.1.2.3.1.1.2.,10,Con,"                    **In fact, non-Christian religious experience, such as Buddhist or Hindu religious experience, is typically very different from Christian experience. There is no reason to think that non-veridical religious experiences are indistinguishable from the witness of the Holy Spirit.
",,
1.1.1.2.2.1.2.3.1.1.2.1.,11,Con,"                      What would distinguish them and who decides what distinctions truly matter? It would seem that ascribing some of these experiences as real and some as false is an entirely subjective activity. Additionally they might say the very same thing about your experience.
",,
1.1.1.2.2.1.2.3.2.,8,Con,"                Religious experiences (even false ones) aren't simply spurious. It may well be the case that theists (or even non-theists) of all kinds do enjoy a veridical experience of God as the Ground of Being on whom we creatures are dependent or as the Moral Absolute from whom values derive or even as the loving Father of mankind.
",,
1.1.1.2.2.1.2.4.,7,Con,"              There are neurological or natural explanations of such experiences, which can be directly explored. m.huffpost.com [5]
",5,
1.1.1.2.2.1.2.4.1.,8,Pro,"                Theists' ""god-detection"" sense is prone to so many false positives that it's useless as a test.
",,
1.1.1.2.2.1.2.4.1.1.,9,Con,"                  Even if this is true for some individuals, it doesn’t follow that it is true for all personal experiences of God.
",,
1.1.1.2.2.1.2.4.1.1.1.,10,Con,"                    Any alleged personal experience of God is more simply explained or interpreted in a way that does not imply the existence of a God or other supernatural entity. That is, it can be explained or interpreted in a naturalistic way. As a natural explanation/interpretation is always simpler (assumes less) than a supernatural explanation/interpretation, such an experience cannot serve as a reason to believe the supernatural.
",,
1.1.1.2.2.1.2.4.1.1.1.1.,11,Pro,"                      Experiences of awe or wonder can be simply natural experiences of awe or wonder: they need not be supernatural in origin or implication.
",,
1.1.1.2.2.1.2.4.1.1.1.2.,11,Pro,"                      That experiences can be adequately explained in a naturalistic way demonstrates that interpreting these experiences in a supernatural way is not strictly rational.
",,
1.1.1.2.2.1.2.4.1.2.,9,Pro,"                  Supernatural hypotheses in general are due to the mind projection fallacy [6]. Higher-order conceptslive in the map, not the territory [7].
",6,
1.1.1.2.2.1.2.4.1.2.,9,Pro,"                  Supernatural hypotheses in general are due to the mind projection fallacy [6]. Higher-order conceptslive in the map, not the territory [7].
",7,
1.1.1.2.2.1.2.4.1.2.1.,10,Con,"                    The parent, rather than providing any evidence against supernatural entities, dismisses them on the basis of how humans might come to believe in them. Thus the parent commits the genetic fallacy.
",,
1.1.1.2.2.1.2.4.1.2.1.1.,11,Con,"                      Information is physically real, and obeys physical laws. [8] To learn of a thing, you must physically interact with it, through some chain of evidence. That some people believe a thing is, in fact, indirect Bayesian evidence for the thing. (If God exists, we can hardly expect fewer to believe than if not.) But that evidence is very weak, because it is second-hand and there are false positives. If we learn about evidence earlier in the chain, it screens off any later evidence from being relevant [9].
",8,
1.1.1.2.2.1.2.4.1.2.1.1.,11,Con,"                      Information is physically real, and obeys physical laws. [8] To learn of a thing, you must physically interact with it, through some chain of evidence. That some people believe a thing is, in fact, indirect Bayesian evidence for the thing. (If God exists, we can hardly expect fewer to believe than if not.) But that evidence is very weak, because it is second-hand and there are false positives. If we learn about evidence earlier in the chain, it screens off any later evidence from being relevant [9].
",9,
1.1.1.2.2.1.2.4.1.2.1.1.1.,12,Con,"                        Each God claim would have to be considered as its own chain. We must ask, “which God is under consideration,” and then evaluate the relevant evidence. Thus, evidence that disproves Zeus does not necessarily disprove or even count as evidence against Jesus or Buddha. We must look at the evidence against each claim before ruling it out. We cannot make a blanket rejection against all gods simply because we have evidence that some of them are not real.
",,
1.1.1.2.2.1.2.4.1.2.1.1.2.,12,Con,"                        The parent presupposes physicalism to be true. It thus begs the question.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.,12,Con,"                        The parent assumes that people’s claims to experiences of the supernatural are less real than their claims to experiences with the natural. This begs the question.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.,13,Con,"                          It begs the question to call those experiences supernatural to begin with. Without evidence of supernatural origins they are simply experiences interpreted a certain way.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.1.,14,Con,"                            By this logic, experiences with the physical are simply experiences interpreted a certain way. They aren’t necessarily “real” because there can be no evidence for the reliability of our five senses. Believing they are reliable is properly basic. Therefore, there can be no evidence the physical is real either.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.1.1.,15,Con,"                              By that logic how can you tell when you are awake vs when you are dreaming? The dream world seems to be the product of sense data. But we know which is real and which is the hallucination. It's the same with the so-called ""supernatural"" senses. We know it's the hallucination, not the reality, the same way.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.1.1.1.,16,Con,"                                This affirms the physical world is not believed on evidence. We assume that our sense data is telling us something about physical reality.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.1.1.1.1.,17,Con,"                                  No it doesn't. The physical world is believed on evidence.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.1.2.,14,Con,"                            The experience is the evidence of supernatural origins the same way experiences with the natural is evidence for natural origins.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.,13,Con,"                          It only asserts that natural explanations are at least as likely to produce the observed data as supernatural explanations. Thus the data is not evidence for the supernatural and is not enough to overcome its low prior.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.,14,Con,"                            The great grandparent literally says, “And natural explanations are far more probable than that.” This is clearly elevating natural explanations above supernatural ones.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.,15,Con,"                              Occam's razor supernatural explanations require more unjustified assumptions that the natural explanations do not require.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.1.,16,Con,"                                To believe in natural reality, one must typically assume they have physical senses that are giving accurate information about that reality. To believe in the supernatural, one must assume they have spiritual senses that give accurate information about supernatural reality. Thus the epistemelogical assumptions to establish the possibility of natural and supernatural realms are equal.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.1.1.,17,Con,"                                  The senses physical or divine are pieces of supposed evidence and not assumptions in and of themselves. The naturalist need only assume that physical reality is actually real which is one singular assumption. Theists must also have an opinion on reality, if they assume it is real as well then they must make further assumptions that supernatural reality is real in addition to physical reality. If they deny that physical reality is real they require even more assumptions for the alternatives.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.1.1.1.,18,Con,"                                    This fails to distinguish between a metaphysical claim and the epistemological methods for arriving at knowing that claim. The epistemological assumptions for believing in the supernatural and the natural are the same.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.,16,Con,"                                The only assumption necessary for the hypothesis, “the experience has a supernatural cause,” is that the supernatural is possible.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.1.,17,Con,"                                  A more correct definition of ""simplest"" is the Kolmogorov complexity i.e. the length of the shortest computer program that produces the object. To a human being, well adapted to interacting with other human beings, ""Thor, God of Thunder, did it,"" really feels like a simpler explanation for a lightning bolt than Maxwell's partial differential equations of electromagnetism. But any software engineer knows that programming the mind of an intelligent being is even harder than calculus.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.,17,Con,"                                  The hypothesis also requires the natural to be possible because the person having the experience is a physical being.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.,18,Con,"                                    The supernatural hypothesis requires no assumptions to be made about the essence of human persons.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.,19,Con,"                                      In order for a physical entity to experience something supernatural one must assume that the physical world exists as well as the supernatural and that they can interact.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.,20,Con,"                                        That assumes a human person is a physical entity which is not a necessary assumption for a supernatural hypothesis. It is better to make no assumptions about the nature of human persons as we look at the evidence.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.,21,Con,"                                          To assume that a human person has no physical components whatsoever requires opinions and assumptions about the nature of our reality. The physical world cannot be real in this instance and neither can it be a simulation since that would need to be simulated on something. The only remaining option is that the physical world is not physical at all but just the ""dream"" of some supernatural being. This requires even more assumptions than assuming the physical world is real.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.1.,22,Con,"                                            It is unclear the only remaining option is that the physical world is a ""dream"" of some supernatural being. If the physical realm can just exist without any explanation, then so can the supernatural.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.1.1.,23,Con,"                                              That might have been the case were it not for the supernatural hypothesis having causes that are supernatural having effects observable in the natural world.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.2.,22,Con,"                                            The supernatural hypothesis has made no assumptions about the nature of humans. Thus to say, ""to assume that a human person has no physical components whatsoever"" is an unjustified accusation. If this assumption was made the supernatural hypothesis would beg the question! Thus no assumption has been made or needs to be made about the nature of human persons.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.2.1.,23,Con,"                                              Except that the supernatural hypothesis is proposing a supernatural cause to an event in the natural world or at the very least an event which is observable from the natural world. Since the event is either in the natural world or interacts with it the hypothesis being a cause and effect statement does require assumptions about the natural world it claims to be interacting with.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.2.1.1.,24,Con,"                                                No assumption has been made about the natural world or the persons having the experience. The supernatural hypothesis would leave open the possibility that persons only exist in a supernatural reality and the physical world is just a projected reality persons use to commune. Or it could be that only God exists and reality is a projection of his mind. In the same way the natural hypothesis makes no assumption about the supernatural, the supernatural makes no assumption about natural.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.3.,17,Pro,"                                  It is possible that the human person having the experience is a supernatural entity themself. Since assuming this would beg the question, one should not make any assumptions about the nature of human persons.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.,17,Pro,"                                  If one insists that the supernatural hypothesis requires the assumption that the natural world exists, then the natural hypothesis requires the assumption that the supernatural world exists. Otherwise the supernatural is ruled out unjustifiably and one demonstrates a clear bias for physical explanations of supernatural claims.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.,18,Con,"                                    Counting assumptions does not rule anything out. Supernatural causes having effects in the natural world requires assumptions about both the supernatural world and the natural one while natural causes having effects in the natural world only requires assumptions about the natural world.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.,19,Pro,"                                      The hypothesis, “the experience was caused by natural causes,” requires no assumption that the supernatural realm exists.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.,20,Con,"                                        This is equivalent to ruling out supernatural explanations altogether. To assume the supernatural isn’t possible begs the question.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.1.,21,Con,"                                          The natural hypothesis does not rule out the possibility of the supernatural. It is simply made more probable by Occam’s razor.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.1.1.,22,Pro,"                                            Fantastic! Then the natural hypothesis requires the supernatural to be possible and thus makes the same number of assumptions as the supernatural hypothesis. Thus both hypotheses start out on equal footing and Occam’s razor helps neither hypothesis.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.1.1.1.,23,Con,"                                              The natural hypothesis makes no claims whatsoever about the supernatural and requires no assumptions nor does it require it to be possible. Occam's razor speaks only to the likelihood of hypotheses it does not require them to be actually realizable or true. Stating that the natural hypothesis is more probably in no way requires the possibility of the supernatural let alone any assumptions about it.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.1.1.1.1.,24,Pro,"                                                Then in the same way, stating that the supernatural hypothesis is more probable in no way requires the possibility of the natural let alone any assumptions about it.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.4.1.1.1.1.1.1.1.1.,25,Con,"                                                  -> See 1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.2.2.1.1.1.1.2.1.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.,16,Con,"                                Natural hypotheses are inadequate to explain the diversity of claims from individuals for supernatural experiences. The burden of proof is on the one offering the natural hypothesis or set of hypotheses to demonstrate it can account for the full spectrum of supernatural experiences. To give one example, there is no natural hypothesis that adequately explains the attested daily and shared experience of the Holy Spirit in Christians.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.,17,Con,"                                  It is possible that the experience or experiences in question were brought on by stress or other psychological factors.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.1.,18,Con,"                                    -> See 1.1.1.2.2.1.2.4.1.1.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.,18,Pro,"                                    The practice of prayer by theists claiming a personal god relationship [10] is nearly identical to the Buddhist meditative practices that produce tulpas [11].
",10,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.,18,Pro,"                                    The practice of prayer by theists claiming a personal god relationship [10] is nearly identical to the Buddhist meditative practices that produce tulpas [11].
",11,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.1.,19,Con,"                                      -> See 1.1.1.2.2.1.2.3.2.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.,19,Con,"                                      Even if we grant that that theistic prayers are nearly identical to meditative practices that produce tulpas and that these tuplas do not exist, it does not follow that a theistic God doesn't exist.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.1.,20,Con,"                                        Oh they exist, but they're just part of the human mind that created them, they're not beings in their own right. Tulpa gods have no power to affect the physical world to answer prayers or anything (no more power than their host anyway). But you can talk to them and they may occasionally have good ideas.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.,20,Con,"                                        Just because Russell invented that teapot allegory, it does not follow that the Teapot does not exist. We're just left with no reason to think so.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.,21,Con,"                                          Russell's teapot is a false comparison. We have good reasons to think God exists. We have no reason to think Russell's Teapot exists.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.,22,Pro,"                                            The arguments from natural theology for the existence of a maximally great being at least make it possible that a maximally great being exists.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.,23,Con,"                                              If God is maximally great, we run into the problem of non-God objects [12].
",12,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.1.,24,Pro,"                                                P3: I exist. I do not think I am God. If I were God, I would know. Therefore I am not God. Therefore, at least one non-God object exists.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.,24,Pro,"                                                P1: GodWorld is comprised of all those great properties to maximal degree and no properties to any lesser degree. No other world can compare to GodWorld, therefore it is the unique best world.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.,25,Con,"                                                  P1. One would have to be omniscient to know what constitutes “the unique best possible world.” Any inference to what a deity would determine as the “unique best possible world” would be an argument from omniscience.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.1.,26,Pro,"                                                    It could very well be that a world in which a maximally great being creates creatures to relate to is better than a world in which the maximally great being exists alone. We aren’t in any perspective to make judgements about which is better.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.1.1.,27,Con,"                                                      P2: The omniscient Being knows that GodWorld is the unique best possible world. The omnibenevolent Being couldn’t have a reason to alter maximal purity of GodWorld. Any alteration of GodWorld--the introduction of a universe or any Non-God object, would, by necessity, be a degradation of overall purity and quality. To suggest God would degrade GodWorld is to suggest He is not Maximally Great.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.1.1.1.,28,Con,"                                                        This is an argument from omniscience. How could one possibly know that “GodWorld is the unique best possible world?” Or that a “omnibenevolent being couldn’t have a reason to alter maximal purity of GodWorld?” Or what maximal purity of GodWorld is? How does one know that “introduction of a Non-God object would degrade overall purity and quality?” We can’t possibly know. These questions/judgements could only be answered/determined by an omniscient mind.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.,26,Con,"                                                    The ""unique best possible world"" follows logically from ""maximal greatness"". One does not have to understand what ""Maximal greatness"" is like, nor what the ""unique best possible world"" is like for the logic to be correct.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.1.,27,Con,"                                                      This confuses, “what are the attributes of maximally great being” with, “what are the attributes of a maximally great world.” These are two very different questions.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.2.,27,Con,"                                                      If the Maximally Great Being determines that a world with free creatures in side of it is ""better"" than a world that just includes itself, then a universe with free creatures would be better. We can't possibly know what is better.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.2.1.,28,Con,"                                                        Wanting is lacking. If god wanted to share his happiness, it means that he would be even happier to have it shared, so his happiness wasn't complete in the first place. Complete happiness is not desiring anything to make you happier. So, if god had the desire to create the universe, then he was happier after creating it, which means he was less happy before.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.2.1.1.,29,Con,"                                                          Deficient happiness may have little to do with God's act of creation. It may be a manifestation of His love and goodness.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.3.,24,Pro,"                                                -> See 1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.1.1.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.4.,24,Con,"                                                -> See 1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.5.,24,Con,"                                                -> See 1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.1.2.1.2.2.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.2.,23,Con,"                                              Among the number of beings in the physical universe there will certanly be some ( depending of the definition of ""great""), that are maximally great. From this does not follow that any of these beings is a god.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.2.1.,24,Con,"                                                The greatest existing being is not necessarily equal in greatness to the greatest conceivable being.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.2.1.1.,25,Con,"                                                  Anything is conceivable which does not make it feasible. The fact that we may imagine a god does not make it real.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.,23,Con,"                                              It's possible that it is impossible that a maximally great being exists. It is possible that the laws of reality do not allow for the characteristics or omniscience, omnipotence or omnibenevolence to exist in actuality. Thus, it may or may not be possible.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.,24,Con,"                                                Propositions are either true or false [13]. While we can argue about the plausibility of any given proposition, it doesn't make sense to talk about the plausibility of possibility. For example, we can say proposition (X) is 1% possible. However, it doesn't make sense to say that the 1% possibility of X is 1% possible. This is what the parent is trying to do by saying, ""it may be possible.""
",13,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.1.,25,Con,"                                                  Propositions of plausibility are also propositions which have truth values. X exists is either true or false. It is possible that x can exist in a realizable world is also either true or false. If X exists then x is possible but if x does not exist we do not immediately know whether or not x is possible.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.1.1.,26,Con,"                                                    If this is true than we result in an endless regress and can never establish the possibility of anything. For any proposition (X), we would say, ""X is possible,"" followed by, ""it is possible that X is possible,""followed by, ""it is possible that it is possible that X is possible"" followed by, ""it is possible that it is possible that it is possible that X is possible.""
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.1.1.1.,27,Con,"                                                      X exists will be proposition P. it is possible that x can exist in a realizable world is Q.  If P is true then Q is true. If P is false Q may be true or Q may be false. Z is it is possible that Q is true. If Q is true then Z is true. If Q is false then Z is false because if it is not possible for P to be true it is necessary that P is false, if it is necessary for P to be false it is necessary that Q is false and by extension Z. If Q is false then there is no possibility Q could have been true.
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.1.1.1.1.,28,Con,"                                                        P = God Exists. 
",,
1.1.1.2.2.1.2.4.1.2.1.1.3.2.1.1.3.1.2.2.2.1.1.3.1.1.1.1.1.1.,29,Con,"                                                          The parent affirms the grandparent. The grandparent says that levels z and beyond are unnecessary and add nothing and thus can be shaved off. It is not an arbitrary stopping point because Q does not follow from P in all cases but Z follows from Q. Any logical proposition can be extended infinitely by adding tautologies to it just as those are unnecessary and add nothing extra levels beyond Q are the same.
",,
